key;text;Brand;Price;Shipping;Gain;Type;timestamp
40;Iphone X 64 Gb;IPHONE;1025;4;1235,00;MOBILE;AUTO
41;Iphone X 256 Gb;IPHONE;1175;4;1400,00;MOBILE;AUTO
42;Iphone XS 64GB;IPHONE;1070;4;1240,00;MOBILE;AUTO
43;Iphone XS 256GB;IPHONE;1230;4;1390,00;MOBILE;AUTO
44;Iphone XS MAX 64GB;IPHONE;1219;4;1490,00;MOBILE;AUTO
45;Iphone XS MAX 256GB;IPHONE;1280;4;1650,00;MOBILE;AUTO
46;J1 MINI 3G PRIME;SAMSUNG;79;0;115,00;MOBILE;AUTO
47;GRAND PRIME;SAMSUNG;102;4;120,00;MOBILE;AUTO
48;J2 CORE;SAMSUNG;76;4;95,00;MOBILE;AUTO
49;J2 CORE 16GB;SAMSUNG;92;4;115,00;MOBILE;AUTO
50;J2 PRIME 16GB;SAMSUNG;87;4;110,00;MOBILE;AUTO
51;J2 PRO;SAMSUNG;93;4;115,00;MOBILE;AUTO
52;J3 PRIME;SAMSUNG;95;4;125,00;MOBILE;AUTO
53;J4 16GB;SAMSUNG;107;4;135,00;MOBILE;AUTO
